
@RELATION agua-with-CAT-InspVis

@ATTRIBUTE TRANS REAL
@ATTRIBUTE OD REAL
@ATTRIBUTE PH REAL
@ATTRIBUTE DQO REAL
@ATTRIBUTE FeTotal REAL
@ATTRIBUTE NH4 REAL
@ATTRIBUTE NO3 REAL
@ATTRIBUTE PO4 REAL
@ATTRIBUTE PTOTAL REAL
@ATTRIBUTE STS REAL
@ATTRIBUTE CHLOROPHYLL REAL
@ATTRIBUTE TURB REAL
@ATTRIBUTE CYCLE {filling, full, emptying, dry}

@DATA
3,4.49,7.02,8.16,0.6,41.9,7.01,12.63,14.08,1,2.38,2.63,emptying
3,4.49,7.07,5.95,0.17,24.01,1.27,2.32,22.25,4.6,3.57,1.15,full
1.1,4.5,7.69,5.8,1.17,9.6,79.78,8.76,27.03,4,19.04,17.75,filling
3.1,4.5,6.87,3.16,0.22,28.45,2.98,0.24,3.73,1.2,8.09,1.96,filling
3.1,4.51,6.6,5.54,0.41,1.82,8.19,0.24,15.73,1.8,4.48,3.18,full
0.4,4.51,6.5,13.49,0.84,98.04,37.96,32.93,84.46,17.33,4.36,46.9,dry
1,4.51,6.78,5.41,1,19.57,116.09,9.94,40.75,8,39.33,24,filling
2.7,4.53,6.76,3.76,0.95,22.96,15.48,11.34,15.95,1.4,2.38,2.02,emptying
0.7,4.53,7.12,7.84,0.62,37.11,53.66,16.31,24.55,5,3.81,8.65,filling
2.2,4.53,6.99,5.12,0.51,33.57,43.94,9.79,32.39,0.4,1.43,2.27,filling
3,4.54,6.64,6.02,0.27,32.89,3.55,0.24,21.21,2.4,5.91,1.81,emptying
1.9,4.54,7.41,4.39,0.43,17.66,17.45,11.66,24.67,3,4.05,3.48,filling
3.5,4.54,6.85,6.24,0.24,13.71,3.08,2,13.14,2.8,3.33,1.2,emptying
1.8,4.55,7.48,7.76,0.41,55.77,33.84,12.54,25.07,3.8,8.77,5,dry
1.4,4.59,7.67,5.88,0.84,28.45,38.34,11.38,24.61,5,3.33,6.15,filling
3,4.59,7.04,6.56,0.64,24.01,35.56,0.24,23.96,1.2,4.12,2.57,filling
